Player.Name,season,season_copy,player_name_Cal,year,defence_def_rtg,offence,defensive_score,offensive_score,player_name,offensive_ranking,defensive_ranking
marques-wilson-1,2018-19,2018,marques-wilson-1_2018,19,1704.24,-301.98,1463.2982,-115.65902,marques-wilson-1_2018-19,6277,5086
anton-jansson-1,2020-21,2020,anton-jansson-1_2020,21,1867.6,-81.6,1633.1217,-115.71779,anton-jansson-1_2020-21,6278,4070
nic-lynch-1,2019-20,2019,nic-lynch-1_2019,20,1840.28,-197.01,2103.252,-115.72759,nic-lynch-1_2019-20,6279,1309
adham-eleeda-1,2020-21,2020,adham-eleeda-1_2020,21,1516.25,-206.18,1262.4155,-115.919716,adham-eleeda-1_2020-21,6280,6347
dan-petcash-1,2021-22,2021,dan-petcash-1_2021,22,1548.8,-119.25,1645.9028,-115.92322,dan-petcash-1_2021-22,6281,3985
rashad-williams-2,2019-20,2019,rashad-williams-2_2019,20,884.5600000000001,-295.32,1057.2484,-115.957695,rashad-williams-2_2019-20,6282,7382
anthony-roberts-2,2020-21,2020,anthony-roberts-2_2020,21,1768.7799999999995,-249.2,1607.1504,-115.95984,anthony-roberts-2_2020-21,6283,4220
thomas-howell-1,2020-21,2020,thomas-howell-1_2020,21,1594.5500000000002,-173.42,1795.4193,-116.00551,thomas-howell-1_2020-21,6284,3064
jesper-granlund-1,2021-22,2021,jesper-granlund-1_2021,22,874.3,-103.32,1412.9683,-116.011566,jesper-granlund-1_2021-22,6285,5425
larry-moreno-1,2021-22,2021,larry-moreno-1_2021,22,1039.51,-19.2,1279.9032,-116.14815,larry-moreno-1_2021-22,6286,6259
caleb-fields-2,2020-21,2020,caleb-fields-2_2020,21,1343.75,-214.92,1292.7427,-116.14973,caleb-fields-2_2020-21,6287,6178
larry-owens-2,2020-21,2020,larry-owens-2_2020,21,2278.6,-91.08,2353.0872,-116.163925,larry-owens-2_2020-21,6288,476
trey-lenox-1,2018-19,2018,trey-lenox-1_2018,19,1065.46,-140.98,1084.2775,-116.28736,trey-lenox-1_2018-19,6289,7280
xavier-lipscomb-1,2021-22,2021,xavier-lipscomb-1_2021,22,1816.6,-77.01,1404.359,-116.310555,xavier-lipscomb-1_2021-22,6290,5483
will-soucie-1,2020-21,2020,will-soucie-1_2020,21,1755.1999999999998,-168.48,1841.2562,-116.36246,will-soucie-1_2020-21,6291,2790
yusuf-jihad-1,2021-22,2021,yusuf-jihad-1_2021,22,1646.7600000000002,-159.12,2069.003,-116.36979,yusuf-jihad-1_2021-22,6292,1464
johnny-wang-1,2019-20,2019,johnny-wang-1_2019,20,1663.94,-86.72,1776.1422,-116.52047,johnny-wang-1_2019-20,6293,3206
justin-steers-1,2021-22,2021,justin-steers-1_2021,22,2355.76,-227.25,2349.526,-116.56882,justin-steers-1_2021-22,6294,485
glen-mcclintock-1,2020-21,2020,glen-mcclintock-1_2020,21,1604.62,-43.92,1416.8469,-116.60297,glen-mcclintock-1_2020-21,6295,5391
alex-king-1,2018-19,2018,alex-king-1_2018,19,1478.68,-231.26,1744.0676,-116.63357,alex-king-1_2018-19,6296,3412
ziggy-reid-1,2019-20,2019,ziggy-reid-1_2019,20,2281.0399999999995,-140.98,1669.871,-116.66335,ziggy-reid-1_2019-20,6297,3835
brycen-long-1,2021-22,2021,brycen-long-1_2021,22,1135.9,-92.95,1263.7667,-116.67302,brycen-long-1_2021-22,6298,6341
desmond-williams-2,2021-22,2021,desmond-williams-2_2021,22,1054.5,-210.87,1254.3995,-116.73225,desmond-williams-2_2021-22,6299,6400
jesus-cruz-1,2020-21,2020,jesus-cruz-1_2020,21,1680.7,-36.78,1618.7109,-116.78915,jesus-cruz-1_2020-21,6300,4157
jeremiah-francis-1,2019-20,2019,jeremiah-francis-1_2019,20,1122.12,-307.44,1301.5748,-116.96351,jeremiah-francis-1_2019-20,6301,6121
jashaun-smith-1,2018-19,2018,jashaun-smith-1_2018,19,1674.1,-150.64,1505.6677,-116.97058,jashaun-smith-1_2018-19,6302,4812
michael-diggins-1,2020-21,2020,michael-diggins-1_2020,21,2241.3,-217.98,1981.9944,-117.09067,michael-diggins-1_2020-21,6303,1939
ben-wight-1,2021-22,2021,ben-wight-1_2021,22,1819.63,-173.42,1857.0337,-117.15847,ben-wight-1_2021-22,6304,2705
bryce-workman-1,2018-19,2018,bryce-workman-1_2018,19,2369.98,-167.4,2012.0513,-117.299324,bryce-workman-1_2018-19,6305,1759
jakob-alamudun-1,2021-22,2021,jakob-alamudun-1_2021,22,2425.84,-110.7,1831.8662,-117.30548,jakob-alamudun-1_2021-22,6306,2841
cyrus-largie-1,2019-20,2019,cyrus-largie-1_2019,20,1798.0600000000002,133.56,1634.6077,-117.34074,cyrus-largie-1_2019-20,6307,4060
devon-savage-1,2021-22,2021,devon-savage-1_2021,22,1760.4,-11.24,1594.4438,-117.39645,devon-savage-1_2021-22,6308,4284
jaden-house-1,2020-21,2020,jaden-house-1_2020,21,1422.55,-192.08,1575.5536,-117.43021,jaden-house-1_2020-21,6309,4389
cameron-benford-1,2020-21,2020,cameron-benford-1_2020,21,1385.48,-107.52,1649.9775,-117.44134,cameron-benford-1_2020-21,6310,3958
matthew-lee-3,2019-20,2019,matthew-lee-3_2019,20,1034.62,-213.9,1133.404,-117.54187,matthew-lee-3_2019-20,6311,7054
devon-dunn-1,2021-22,2021,devon-dunn-1_2021,22,805.43,-189.1,979.71716,-117.69381,devon-dunn-1_2021-22,6312,7552
josiah-jeffers-1,2019-20,2019,josiah-jeffers-1_2019,20,1106.56,-51.52,1203.9783,-117.75133,josiah-jeffers-1_2019-20,6313,6679
evan-taylor-2,2019-20,2019,evan-taylor-2_2019,20,2975.14,-114.07,1778.6278,-117.771034,evan-taylor-2_2019-20,6314,3187
nigel-hawkins-1,2020-21,2020,nigel-hawkins-1_2020,21,1505.8,-51.2,1398.8804,-117.785515,nigel-hawkins-1_2020-21,6315,5512
kyonze-chavis-1,2018-19,2018,kyonze-chavis-1_2018,19,1412.03,-76.22,1577.1641,-117.78602,kyonze-chavis-1_2018-19,6316,4383
cj-white-1,2021-22,2021,cj-white-1_2021,22,2215.8700000000003,-145.13,1762.0483,-117.80275,cj-white-1_2021-22,6317,3296
terrell-burden-1,2020-21,2020,terrell-burden-1_2020,21,1373.8,-22.05,1392.1848,-117.82557,terrell-burden-1_2020-21,6318,5551
jawaun-newton-1,2019-20,2019,jawaun-newton-1_2019,20,1985.7,28.08,1409.0536,-117.8609,jawaun-newton-1_2019-20,6319,5450
yoro-sidibe-1,2019-20,2019,yoro-sidibe-1_2019,20,2010.9000000000003,-145.6,1835.8079,-117.94482,yoro-sidibe-1_2019-20,6320,2815
caelan-jones-1,2021-22,2021,caelan-jones-1_2021,22,1265.97,-85.1,1248.0557,-118.10323,caelan-jones-1_2021-22,6321,6444
cem-kirciman-1,2020-21,2020,cem-kirciman-1_2020,21,1914.37,-131.76,1840.707,-118.10696,cem-kirciman-1_2020-21,6322,2794
messiah-thompson-1,2019-20,2019,messiah-thompson-1_2019,20,920.7,-184.15,1361.99,-118.12014,messiah-thompson-1_2019-20,6323,5763
teyvion-kirk-1,2018-19,2018,teyvion-kirk-1_2018,19,2186.38,-239.54,1896.8182,-118.151924,teyvion-kirk-1_2018-19,6324,2474
