Player.Name,season,defence_def_rtg,predicted_defensive_score,offence,predicted_offensive_score,player_name
adama-sanogo-1,2020-21,2395.4500000000003,2390.6191488122504,302.4,262.61284460320314,adama-sanogo-1_2020-21
adama-sanogo-1,2021-22,2322.8,2463.7429891646398,729.3,362.9547908034813,adama-sanogo-1_2021-22
ade-adebayo-1,2019-20,1440.56,1297.7139591711639,-74.25,-169.00783773254113,ade-adebayo-1_2019-20
ade-adebayo-1,2020-21,1332.88,1510.5105757991942,-92.8,-176.7971683520753,ade-adebayo-1_2020-21
ade-adebayo-1,2021-22,1478.4399999999998,1460.1585035337657,-35.1,-116.66506864997083,ade-adebayo-1_2021-22
ade-murkey-1,2018-19,2243.8899999999994,1683.2150779699841,314.73,-3.1329694284012817,ade-murkey-1_2018-19
adefolalrin-adetogun-1,2021-22,2287.36,1768.765031639191,-60.84,-211.747707874501,adefolalrin-adetogun-1_2021-22
ademide-badmus-1,2021-22,2273.14,1713.0343640055744,-115.84000000000002,-24.20364779969549,ademide-badmus-1_2021-22
adetokunbo-bakare-1,2020-21,1106.0,1722.654014588149,-6.15,-153.48092888999454,adetokunbo-bakare-1_2020-21
adham-eleeda-1,2019-20,1362.25,1435.8424566904691,-122.43,-119.77918013902152,adham-eleeda-1_2019-20
adham-eleeda-1,2020-21,1516.25,1434.7849131791181,-206.18,-163.26553911970117,adham-eleeda-1_2020-21
admir-besovic-1,2019-20,1334.1999999999998,1558.358464440449,-84.48,-53.44202992476295,admir-besovic-1_2019-20
adonis-arms-1,2020-21,1697.45,2038.36672925304,484.88,217.8691294224451,adonis-arms-1_2020-21
adrian-delph-1,2018-19,1395.55,1547.74077952085,-191.69,-13.445020107102891,adrian-delph-1_2018-19
adrian-delph-1,2019-20,1664.8300000000002,1454.2621448231766,-142.11999999999998,-76.81230112246976,adrian-delph-1_2019-20
adrian-delph-1,2020-21,1841.52,1578.110806711874,381.7099999999999,-78.23090078553793,adrian-delph-1_2020-21
adrian-martin-2,2018-19,1337.86,1346.3079309572572,-49.21999999999999,-150.7837956682103,adrian-martin-2_2018-19
adrian-martin-2,2019-20,935.08,1281.7298173375161,-288.6,-67.75810204401779,adrian-martin-2_2019-20
adrian-martin-2,2020-21,1083.5200000000002,1140.7505118824138,-277.2,-204.63140674255024,adrian-martin-2_2020-21
adrian-nelson-1,2018-19,2641.96,2172.5921581346765,115.42,8.70177864554961,adrian-nelson-1_2018-19
adrian-nelson-1,2019-20,3089.64,2459.416606162905,86.16,117.8895255811853,adrian-nelson-1_2019-20
adrian-nelson-1,2020-21,2874.39,2717.193247567954,61.36000000000001,94.8970902018973,adrian-nelson-1_2020-21
adrian-nelson-1,2021-22,2748.25,2723.4228368698405,252.03,42.8550337203464,adrian-nelson-1_2021-22
adrian-rodriguez-1,2018-19,2101.8,1955.435329544207,-43.260000000000005,6.7392820642612605,adrian-rodriguez-1_2018-19
adrian-rodriguez-1,2019-20,1434.0199999999998,2045.1900299475292,-85.19999999999999,24.58536390072061,adrian-rodriguez-1_2019-20
adrio-bailey-1,2018-19,2179.5399999999995,1780.0643931099703,235.62,130.73138476914875,adrio-bailey-1_2018-19
